Country Name,Country Code,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Afghanistan,AFG,0.101374764,0.090782199,0.08156608,0.074116045,0.067333284,0.060797665,0.056258495,0.043144757,0.039272122,0.031077543,0.041129229,0.045618839,0.040415279,0.054403968,0.065524747,0.087857642,0.158961558,0.24907353,0.302936388,0.425262105,0.688083613,0.693183411
Albania,ALB,0.774724911,0.723790292,0.600203708,0.654537133,0.636625313,0.49036506,0.560271437,0.960164412,0.978174681,1.053304176,1.229540709,1.412697196,1.376212735,1.412498211,1.302576367,1.322334855,1.484311139,1.495600199,1.578573584,1.803972418,1.624721963,1.662184826
Algeria,DZA,2.975997502,2.961739082,3.049884255,3.298667223,3.302462522,2.950878349,3.529699396,2.994118743,2.819778007,2.668327798,2.840027912,2.856410052,2.727017138,3.220154559,2.997546973,3.195864593,3.168524491,3.430128957,3.30716434,3.300557789,3.471949931,3.51478009
American Samoa,ASM,,,,,,,,,,,,,,,,,,,,,,
Andorra,AND,,,,6.374494942,6.616353766,7.145696603,7.576446281,8.001433893,8.018180706,7.73765678,7.484094812,7.159140446,7.208828523,7.088127747,6.553476545,6.350868305,6.296124556,6.049172848,6.12477049,5.96868547,6.195193908,6.473847856
Angola,AGO,0.438530823,0.47159516,0.307601078,0.841494446,0.779026419,0.5348313,0.515117027,0.627072296,0.633625299,0.625351712,0.786223278,0.543083667,1.086604897,1.069417185,1.200877147,1.311096483,1.295686513,1.354388572,1.369338878,1.382752197,1.472255038,1.384496389
Antigua and Barbuda,ATG,4.566841126,4.692005303,4.683621337,4.721298044,4.593864332,4.670561524,4.49690052,4.581278521,4.439238615,4.364812845,4.536211421,4.804484327,4.980995619,4.974311149,5.096289552,5.561524699,5.628318688,5.906292005,6.011268671,5.823804338,5.887356993,5.827426793
Argentina,ARG,3.608582241,3.477160476,3.569365678,3.656645164,3.811457178,3.851203125,3.857872193,4.010700295,3.835573562,3.56859739,3.291541393,3.525575435,4.069049764,4.141236496,4.434837147,4.382704081,4.682973741,4.410972709,4.558611742,4.60043018,4.569635239,4.46229798
Armenia,ARM,1.599895579,0.758500602,0.822581425,1.058059868,0.807718159,1.030800739,1.080206993,0.974288743,1.126529454,1.15760795,0.998805808,1.1291735,1.20456698,1.443730955,1.459636908,1.694755259,1.868611029,1.469960972,1.422998378,1.656830697,1.912089591,1.837058919
Aruba,ABW,22.83981828,22.10376838,20.79719687,20.04099544,19.43803113,19.31197116,19.62153398,19.65258865,25.5476788,25.38248972,24.9755145,24.90906561,24.51054263,24.964531,24.76670634,25.61371495,24.75013321,24.87670585,24.18270225,23.9224121,12.71361324,8.515395303
Australia,AUS,15.31776851,15.7014518,15.57658628,15.59651881,16.50180039,16.51427321,16.93569585,17.19029769,17.20060983,16.73336743,17.37045177,16.90195895,17.02651535,17.16971145,17.65139831,17.86526004,18.16087566,18.20018196,16.92095367,16.86260095,16.51938578,16.34730205
Austria,AUT,7.226236428,7.223017309,7.189264701,7.521516107,7.938008299,7.863667996,7.981004261,7.741130615,7.755493495,8.17270746,8.279151819,8.868340807,8.836375971,9.020169598,8.727297872,8.405092793,8.286723325,7.555670205,8.110593007,7.776538158,7.384032201,7.360055782
Azerbaijan,AZE,7.61863709,6.464585857,5.525358563,4.337414444,4.026472755,3.803022741,4.00297561,3.579835395,3.666271029,3.547105484,3.623944346,3.718169927,3.863229639,4.091801927,4.616299863,3.5553401,4.051383481,3.565668218,3.388225879,3.646179877,3.82487717,3.785068836
"Bahamas, The",BHS,6.737845363,6.274733096,6.113815363,6.008020675,5.879253115,4.753575312,5.790252849,5.708374777,5.600991638,5.177430741,5.100139082,4.807931416,5.343508847,5.290393418,4.957751764,4.939203936,4.29200171,4.630520322,6.829321287,5.199844019,5.150114934,8.229959163
Bahrain,BHR,20.85515583,27.33348827,26.93068209,26.28624874,26.94021781,28.96998331,29.77842227,28.11597057,27.95664425,20.04231731,21.64210708,21.6236937,21.67099428,22.15390524,20.01475859,26.00129071,26.53847946,22.81506951,23.10119962,22.48470231,21.81099704,23.68257416
Bangladesh,BGD,0.159912482,0.153445767,0.163650969,0.192658144,0.198614945,0.202825216,0.190602088,0.196015725,0.212287044,0.242619016,0.247430419,0.25737757,0.267701509,0.276211627,0.300622667,0.302930323,0.334291253,0.359053573,0.395682597,0.414398868,0.434633967,0.438735966
Barbados,BRB,3.734358313,4.237195495,2.833429919,3.127776813,3.199007295,3.379293035,4.256171883,4.499888443,4.403041825,4.511171616,4.525009301,4.660168001,4.739998755,4.938170817,4.986394706,4.939722039,5.844667616,5.807340932,5.286054098,5.449494302,5.22219973,5.127255286
Belarus,BLR,8.556931578,7.497670183,6.361224895,5.961662841,5.921699705,5.886700306,5.770180554,5.591672546,5.376067566,5.314342869,5.312224734,5.46400592,5.977247688,6.12305133,6.463068409,6.330945084,6.623153128,6.380896287,6.602532034,6.719672015,6.680340976,6.736650116
Belgium,BEL,11.14648251,10.67503455,11.1051094,11.08115205,11.62383425,11.32885202,11.60191455,11.17302675,11.2296677,11.13371551,10.3854951,10.88211417,10.66129022,10.35539299,10.151039,9.744777191,9.751984809,9.286297597,9.889429352,8.953622115,8.28483788,8.371639275
Belize,BLZ,1.830471231,1.911297219,1.854609824,1.824977532,1.441579228,1.754007076,1.608270478,1.457447788,1.675498965,1.610673402,1.398540057,1.430654846,1.434471268,1.462766389,1.488235638,1.536093806,1.257606193,1.378373815,1.676100482,1.815716009,1.426691456,1.5022008
Benin,BEN,0.167046718,0.202977024,0.218621053,0.221772443,0.204833203,0.191382863,0.185408737,0.231754927,0.230065879,0.252987807,0.280412783,0.307110875,0.316583691,0.292647893,0.458607507,0.516298739,0.491601795,0.504357329,0.535215995,0.542584809,0.54841941,0.561654398
Bermuda,BMU,6.884034474,7.905432015,7.788975051,7.487932247,7.56220792,7.455592839,7.280688512,7.658905115,7.531722543,7.450867145,7.86884855,7.412175286,7.133793536,6.173208218,8.070207523,11.24603933,9.943759288,6.927722591,8.784042749,6.134006567,6.847541591,5.585037153
Bhutan,BTN,0.409693515,0.353379705,0.415904353,0.489993063,0.586860847,0.753227482,0.714833573,0.702122771,0.701958748,0.662957313,0.698568399,0.612679529,0.485668561,0.608197947,0.588329935,0.575767714,0.606778515,0.549145981,0.677145031,1.001575973,1.099541354,1.171088881
Bolivia,BOL,0.922958891,1.108091975,1.204561642,1.250325769,1.29765447,1.400948435,1.427278992,1.373997368,1.225922572,1.156244814,1.10560774,1.60366373,1.458991452,1.335331528,1.62190482,1.306163693,1.378956858,1.43353757,1.53287018,1.602046012,1.835512438,1.894511704
Bosnia and Herzegovina,BIH,3.499754369,3.043460696,0.809223407,0.883835858,1.117234098,2.220951782,2.805680397,2.742215454,3.635213155,3.516694138,3.755251294,3.795422854,4.080225109,4.227205673,4.575983248,4.59661891,5.248736831,5.394822254,5.547458346,6.233012987,5.814068418,5.729428254
Botswana,BWA,1.903235503,2.131243518,1.970333337,1.933194442,1.710843658,1.702217583,1.992897967,1.85027699,2.177083219,2.184557321,2.226874882,2.114597683,2.123394253,2.197442279,2.182011541,2.192110467,2.290167623,1.956622918,2.342203043,2.105750761,2.085533157,2.49183004
Brazil,BRA,1.420434655,1.462108834,1.511002399,1.587339242,1.722791601,1.790103371,1.831430313,1.849075569,1.865808376,1.891238736,1.835266279,1.751490659,1.815133482,1.842690495,1.823133072,1.884034471,1.990203014,1.866522375,2.113414545,2.191393564,2.32225814,2.465870235
British Virgin Islands,VGB,4.017355705,4.143502825,4.469226082,4.577530529,5.062227886,5.137986508,5.205110007,5.086495591,4.973889454,5.043059705,5.279934974,5.5005,5.531901677,5.697785835,5.981805253,6.078310087,6.301671614,6.238752363,6.331006869,6.307460761,6.1736172,6.057402437
Brunei Darussalam,BRN,19.17163562,17.76361465,16.33049547,16.23369377,16.10114763,16.33745069,16.62962449,12.07188739,14.25514439,13.37018874,12.750771,13.13400676,14.05150689,13.8314649,13.20777401,22.47446316,23.95001129,20.31117082,20.85694708,24.27266969,23.80088382,18.91873613
Bulgaria,BGR,6.376764779,8.035332854,6.436235483,6.900326395,6.763241038,6.209849583,5.934325293,5.356718076,5.328034342,5.792010306,5.672606662,6.046861677,6.014773502,6.190866678,6.363292991,6.925435282,6.772087541,5.731193724,5.965396042,6.714881535,6.142043103,5.445648555
Burkina Faso,BFA,0.067840823,0.06564342,0.065745056,0.062147146,0.068229445,0.075638155,0.07856119,0.082550446,0.089716835,0.08351019,0.081747564,0.085214387,0.084722421,0.083875351,0.098340164,0.115429246,0.130385449,0.127424987,0.125501325,0.137283259,0.158475597,0.17900836
