Country Name,Country Code,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Afghanistan,AFG,,,,,,,,,,,,3.528244722,-3.212378694,7.074087797,2.269490269,10.69016181,1.068035776,18.00239303,5.505838227,2.99405152,10.90225788,-1.216694849
Albania,ALB,-6.635518685,10.27078609,8.966877407,14.00202421,9.780180446,-10.27846136,9.697045987,14.22231692,7.348638646,8.958087712,4.544405729,6.169982479,6.152274472,6.263275593,6.098291604,6.703337835,8.358297751,4.04882152,4.226160907,2.840939268,1.578516449,1.235486399
Algeria,DZA,-0.546951308,-4.231830854,-2.912736748,1.852562047,2.303619498,-0.509733779,3.543909741,1.758759476,2.411589872,1.674081617,4.279382178,5.861446353,2.957718387,4.465430206,0.2492289,1.852882754,0.78480607,-0.09534562,1.776258785,0.991568761,1.405169711,0.789804876
American Samoa,ASM,,,,,,,,,,,,,,,,,,,,,,
Andorra,AND,-2.891787342,-4.436806947,-0.398973022,0.91168136,3.938412958,9.312512095,3.613138823,3.656147449,-0.749276521,2.35593012,1.519400037,6.425944423,3.166597385,4.007964876,1.88829336,-1.696477567,-9.382162931,-3.658196544,-4.165093185,-2.382443262,1.968145012,4.431534067
Angola,AGO,-9.860585676,-27.14598618,0.212993991,7.063427327,8.034611638,4.952266087,3.900152209,0.310782322,-0.11177737,0.844751187,-10.09972209,1.579594864,7.006725743,14.1850911,16.64240426,18.48759852,10.04081846,-0.970191715,-0.0028121,0.497589121,1.709831247,3.339850935
Antigua and Barbuda,ATG,-0.776600827,3.060302524,3.640273309,-6.698960964,3.858527517,2.000580591,1.630260426,1.608971312,2.867828909,-4.81723262,1.563588454,4.769454204,4.237653096,4.994964707,12.15117928,8.292337393,-1.046261783,-13.00433239,-8.136142884,-2.817256194,2.768421661,-1.21600325
Argentina,ARG,10.4066757,4.491875091,4.466618995,-4.057614423,4.260879593,6.861158276,2.682164521,-4.457041727,-1.885050636,-5.465176962,-11.87728912,7.643731812,7.849148078,7.730155731,7.012801691,7.894347062,3.031944221,-6.97348162,9.21789374,5.044769016,-2.08619709,1.236899017
Armenia,ARM,-40.74693535,-6.639566936,7.954315197,9.114497255,7.524993131,4.499064056,8.151173129,3.939001429,6.510110536,10.13169969,13.66125785,14.44750683,10.84889612,14.28360803,13.67897497,14.2838175,7.370283552,-13.89178228,2.290078204,4.541679199,6.827290248,2.821750311
Aruba,ABW,,,,-3.325223596,4.096424572,3.855367692,-0.965374833,2.484936384,-2.397800778,-4.308765399,-1.756696281,5.280753266,-0.592892313,-0.913111283,1.544034047,-4.023947954,-6.995240199,-5.722343697,,,,
