Country Name,Country Code,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Afghanistan,AFG,7.210628551,7.555156024,6.815593949,5.531349698,4.141838763,3.11057339,2.612500651,2.806796256,3.425806533,4.122662406,4.550804562,4.639094454,4.315131588,3.7586963,3.161258348,2.718198096,2.485314572,2.525627754,2.736885959,2.983978666,3.135546164,3.164336274
Albania,ALB,-0.606434726,-0.610165793,-0.613880507,-0.617703658,-0.621511399,-0.625430097,-0.629334393,-0.633352274,-0.637356834,-0.938470428,-0.299876697,-0.374149169,-0.417931378,-0.511790116,-0.630911245,-0.755718755,-0.767342959,-0.673894046,-0.496461963,-0.283303108,-0.156175016,-0.124031847
Algeria,DZA,2.332446637,2.201617561,2.051928094,1.893962306,1.740690739,1.605031296,1.491654077,1.406395926,1.346608219,1.295656901,1.258470687,1.256511942,1.295295915,1.363904736,1.436792867,1.507551588,1.589910176,1.682726018,1.77604672,1.872060709,1.948088888,1.974814461
American Samoa,ASM,2.486451276,2.248853768,2.110638956,2.038644939,1.970101172,1.866534698,1.726840756,1.542629577,1.319469664,1.130541523,0.946074376,0.658488879,0.244976005,-0.244976005,-0.796505718,-1.27670071,-1.519148718,-1.421569628,-1.054880962,-0.576827614,-0.161023347,0.135711011
Andorra,AND,3.859344829,3.501404323,2.755004086,1.812614319,0.682042521,-0.224232798,-0.404577425,0.426399915,1.911141835,3.561265132,4.720793543,5.126303185,4.642944647,3.61784254,2.612605765,1.789041541,0.865725022,-0.165994544,-1.241974138,-2.510551958,-3.724710143,-4.399683922
Angola,AGO,3.231666443,3.302250685,3.227375181,3.068869642,2.887872761,2.769923426,2.757215157,2.878124451,3.079443863,3.293109281,3.45384539,3.547199042,3.55530349,3.507711629,3.448621487,3.406206726,3.37418026,3.35914867,3.353692563,3.3474133,3.331567413,3.306204563
Antigua and Barbuda,ATG,1.624243072,2.235444056,2.559910898,2.667338764,2.736219882,2.78940297,2.696184843,2.442765907,2.091312416,1.69075666,1.330820512,1.086170222,1.001102924,1.031156608,1.086548225,1.108051179,1.122859329,1.106914885,1.07531016,1.047989749,1.034875307,1.023163952
Argentina,ARG,1.379933411,1.345127237,1.302503759,1.25576227,1.206768918,1.162850408,1.131083662,1.115330679,1.110916205,1.111208597,1.10909464,1.102473015,1.088568664,1.070230213,1.050166529,1.033983722,1.025392833,1.02680978,1.034454869,1.044287673,1.049809261,1.047065055
Armenia,ARM,-1.79321952,-2.34127163,-2.394546762,-2.050396131,-1.555483182,-1.133669677,-0.790134994,-0.616682622,-0.574466265,-0.523523009,-0.418746421,-0.35600265,-0.344352298,-0.366336612,-0.423993809,-0.468893956,-0.438963628,-0.300313112,-0.088100324,0.151328197,0.348282812,0.46404666
Aruba,ABW,5.438724512,6.060134558,5.63427331,4.619164598,3.509389552,2.670905083,2.117921027,1.960580158,2.061653566,2.216120996,2.236520048,2.104134709,1.764478212,1.296975011,0.795579246,0.384067624,0.122432875,0.072993424,0.178313751,0.333115822,0.447318552,0.514335276
Australia,AUS,1.213390775,0.978336681,1.058508842,1.208019812,1.313819299,1.11872569,1.042235716,1.142505187,1.192272323,1.348358342,1.220563785,1.233996663,1.159352162,1.319789554,1.475227945,0.624678435,2.00402174,2.06104513,1.555489589,1.389527316,1.722895219,1.69747275
Austria,AUT,1.100552287,0.824627941,0.384869547,0.153106261,0.135019834,0.113316608,0.109728368,0.194563153,0.240466652,0.382799394,0.491980464,0.487133895,0.620413127,0.681267248,0.494797775,0.324146535,0.313041438,0.26195319,0.2403943,0.337080842,0.455937472,0.584103986
