Country me,Country Code,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Afghanistan,AFG,18.882,19.17,19.462,19.757,20.055,20.356,20.661,20.97,21.282,21.596,21.915,22.237,22.562,22.895,23.237,23.587,23.946,24.313,24.689,25.074,25.468,25.871
Albania,ALB,37.249,37.799,38.354,38.911,39.473,40.035,40.601,41.169,41.741,42.435,43.501,44.573,45.651,46.731,47.815,48.902,49.991,51.076,52.163,53.247,54.33,55.383
Algeria,DZA,53.657,54.439,55.219,55.997,56.774,57.544,58.313,59.118,59.919,60.712,61.501,62.284,63.061,63.83,64.593,65.348,66.097,66.822,67.526,68.209,68.87,69.51
American Samoa,ASM,82.789,83.654,84.485,85.28,86.043,86.771,87.467,88.131,88.587,88.491,88.394,88.297,88.198,88.1,88,87.9,87.799,87.697,87.594,87.5,87.413,87.334
Andorra,AND,94.324,94.111,93.89,93.661,93.425,93.18,92.927,92.666,92.395,92.056,91.641,91.207,90.751,90.295,89.838,89.363,88.867,88.352,87.817,87.26,86.708,86.165
Angola,AGO,26.872,27.53,28.2,28.88,29.57,30.268,30.975,31.692,32.419,33.152,33.895,34.645,35.405,36.169,36.942,37.722,38.509,39.299,40.097,40.9,41.699,42.49
Antigua and Barbuda,ATG,35.085,34.709,34.334,33.961,33.59,33.221,32.855,32.49,32.127,31.74,31.099,30.465,29.837,29.219,28.607,28.003,27.406,26.819,26.239,25.667,25.135,24.643
Argenti,ARG,87.542,87.752,87.96,88.164,88.366,88.564,88.759,88.952,89.142,89.329,89.519,89.71,89.899,90.084,90.266,90.445,90.622,90.795,90.966,91.133,91.295,91.452
Armenia,ARM,66.878,66.606,66.332,66.057,65.781,65.504,65.226,64.947,64.666,64.385,64.283,64.25,64.217,64.184,64.15,64.117,63.997,63.789,63.58,63.371,63.161,62.975
Aruba,ABW,49.998,49.588,49.177,48.767,48.356,47.946,47.536,47.127,46.717,46.339,45.972,45.606,45.24,44.875,44.511,44.147,43.783,43.421,43.059,42.698,42.364,42.058
Australia,AUS,85.566,85.748,85.928,86.106,86.283,86.504,86.727,86.947,87.165,87.378,87.541,87.695,87.849,88,88.15,88.298,88.445,88.59,88.733,88.875,89.015,89.153
