Country Name,Country Code,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Afghanistan,AFG,21.05448335,22.70681463,24.30837699,25.6908403,26.77725699,27.62327298,28.35444046,29.16156603,30.17789419,31.44802867,32.9122308,34.47502987,35.99523634,37.37393622,38.57429617,39.63720246,40.63465521,41.67400515,42.83032656,44.1276338,45.53319701,46.99705909
Albania,ALB,118.505073,117.7841971,117.0633577,116.3424818,115.6216423,114.9007664,114.179927,113.4590511,112.7382117,111.685146,111.3507299,110.9348905,110.4722263,109.9082847,109.2170438,108.394781,107.5662044,106.8437591,106.314635,106.0138686,105.8484307,105.7172263
Algeria,DZA,11.41221166,11.66625114,11.9081071,12.13579148,12.34888737,12.54869003,12.73727611,12.91767825,13.09280526,13.26354682,13.43151939,13.60135279,13.77867651,13.96789196,14.17003031,14.38526917,14.61580987,14.86383484,15.13018172,15.4160958,15.71935938,16.03287303
American Samoa,ASM,247.985,253.625,259.035,264.37,269.63,274.71,279.495,283.84,287.61,290.88,293.645,295.585,296.31,295.585,293.24,289.52,285.155,281.13,278.18,276.58,276.135,276.51
Andorra,AND,125.3276596,129.793617,133.4191489,135.8595745,136.7893617,136.4829787,135.9319149,136.512766,139.1468085,144.1914894,151.1617021,159.112766,166.6744681,172.8148936,177.3893617,180.5914894,182.1617021,181.8595745,179.6148936,175.1617021,168.7574468,161.493617
Angola,AGO,9.504268068,9.823362477,10.14557071,10.46175182,10.76827866,11.0707211,11.38021176,11.71250742,12.07879843,12.48318842,12.92187054,13.38846154,13.87302479,14.36828587,14.87243683,15.38774926,15.91581856,16.45953557,17.02089837,17.6003016,18.19654448,18.80821529
Antigua and Barbuda,ATG,144.1681818,147.4272727,151.25,155.3386364,159.6477273,164.1636364,168.65,172.8204545,176.4727273,179.4818182,181.8863636,183.8727273,185.7227273,187.6477273,189.6977273,191.8113636,193.9772727,196.1363636,198.2568182,200.3454545,202.4295455,204.5113636
Argentina,ARG,12.29775714,12.46429519,12.627705,12.78727879,12.94252656,13.09390724,13.24285104,13.39137937,13.54097578,13.69228338,13.84498902,13.99847078,14.15168616,14.30395514,14.45496202,14.60519935,14.75573046,14.90802429,15.06304148,15.22116718,15.3818021,15.54370572
Armenia,ARM,121.162522,118.3587285,115.5582367,113.212961,111.4655778,110.2090622,109.341693,108.6694766,108.0469968,107.482824,107.0336846,106.6533193,106.2866877,105.898033,105.4499824,104.9566913,104.4969793,104.1836319,104.0918862,104.2495258,104.613242,105.0998244
Aruba,ABW,379.0833333,402.7666667,426.1111111,446.2555556,462.1944444,474.7055556,484.8666667,494.4666667,504.7666667,516.0777778,527.75,538.9722222,548.5666667,555.7277778,560.1666667,562.3222222,563.0111111,563.4222222,564.4277778,566.3111111,568.85,571.7833333
Australia,AUS,2.277312784,2.299701912,2.32417375,2.352420499,2.383530974,2.41034586,2.435598714,2.463585124,2.493133567,2.526977598,2.558009971,2.589771292,2.619970582,2.654777866,2.694232196,2.711115161,2.765994559,2.823594496,2.867858584,2.90798641,2.958522057,3.009170821
Austria,AUT,94.94682732,95.73302252,96.1021797,96.24943085,96.37947445,96.4887503,96.59468394,96.78280455,97.01581497,97.38790264,97.86821264,98.34612497,98.95817389,99.63464519,100.1288569,100.4563806,100.7713435,101.0356633,101.2874254,101.6417316,102.1148703,102.7416971
Azerbaijan,AZE,88.70783614,90.06573176,91.29144285,92.34891909,93.28622757,94.19048992,95.23179127,96.52076658,97.43477998,98.19379207,98.9124646,99.62372356,100.4753726,101.5225018,102.6725317,103.8533687,106.0597625,108.2912905,109.5423442,110.9763362,112.4607902,113.9234808
"Bahamas, The",BHS,26.58671329,27.08941059,27.56273726,27.98711289,28.35084915,28.66813187,28.97642358,29.32787213,29.75934066,30.28351648,30.88611389,31.54415584,32.22167832,32.89140859,33.54655345,34.19170829,34.82387612,35.44255744,36.04695305,36.63446553,37.2015984,37.74635365
Bahrain,BHR,736.2647887,754.4957746,773.4521127,793.9859155,816.6971831,842.0197183,870.4985915,902.6816901,939.2323944,978.7225352,1021.640845,1057.770833,1106.834247,1171.640541,1271.362162,1368.757333,1468.127632,1574.702632,1655.274278,1702.756193,1731.918182,1752.502597
Bangladesh,BGD,852.6347008,871.4938465,890.47945,909.7931013,929.4547438,949.3286241,969.2677499,989.0625567,1008.532988,1027.702727,1046.542644,1064.762802,1081.998817,1098.025497,1112.692925,1126.163379,1138.914289,1151.615856,1164.759753,1178.502051,1192.727871,1207.324222
Barbados,BRB,609.7302326,611.8395349,613.9883721,616.1906977,618.4651163,620.8,623.1372093,625.3953488,627.5302326,629.5023256,631.3465116,633.1651163,635.0953488,637.2395349,639.627907,642.2186047,644.9186047,647.5953488,650.1534884,652.5627907,654.8372093,656.9837209
Belarus,BLR,50.36481956,50.47820943,50.4190495,50.25635969,50.08873989,49.87675015,49.64011043,49.43175902,49.19941826,48.94768783,48.6394912,48.30029581,47.97665796,47.64539269,47.33821587,47.1215032,46.95901922,46.87291687,46.77468211,46.6865704,46.6438076,46.6512099
Belgium,BEL,,,,,,,,,338.5485469,339.7149934,341.2412483,342.6728203,344.1590819,346.0573646,348.347358,350.9147952,353.6979194,356.555251,359.8278071,364.8528402,367.5114267,369.3136394
Belize,BLZ,8.519114423,8.66352477,8.8416484,9.073301184,9.367558089,9.715387988,10.09596668,10.47891276,10.84226217,11.17882508,11.49504603,11.79886015,12.1036826,12.41907058,12.74664621,13.08211311,13.42240246,13.76260412,14.09947391,14.43195967,14.76137659,15.08956598
Benin,BEN,47.69622206,49.50709471,51.31956368,53.08316779,54.77401561,56.41451756,58.056873,59.77732352,61.62970912,63.62993083,65.75686414,67.98227208,70.26246896,72.56440227,74.88220114,77.22274743,79.58074672,81.95266052,84.33662646,86.72748315,89.1255055,91.5416105
Bermuda,BMU,1171.9,1178.2,1186.4,1194.92,1202.58,1209.94,1218.86,1225.7,1236.66,1250.08,1258.24,1266.5,1274.8,1283.08,1290.46,1297.76,1305.46,1312.72,1302.48,1291.28,1295.96,1300.02
Bhutan,BTN,11.30246345,11.10474499,12.84879397,12.78635678,12.87379397,13.08836683,13.40467337,13.77856784,14.17555276,14.59256281,15.03570352,15.48929648,16.63916363,17.08326993,17.49665504,17.87840071,18.23307186,18.56992943,18.89566335,19.21048351,19.51126794,19.79791169
Bolivia,BOL,6.583309333,6.714505677,6.848392874,6.984875842,7.124014585,7.265632789,7.409080587,7.553503185,7.698247946,7.843051786,7.987947014,8.132945629,8.278168559,8.42370996,8.569505216,8.715482323,8.861733592,9.008399335,9.155584787,9.303275178,9.451455737,9.600231699
Bosnia and Herzegovina,BIH,84.00720703,80.88216797,77.97375,75.76714844,74.42673828,73.81550781,73.74800781,73.91384766,74.07964844,74.21380859,74.38177734,74.55689453,74.7240625,74.87064453,74.97078125,75.00816406,74.99509766,74.95570313,74.90738281,74.84980469,74.77380859,74.67837891
