Country me,Country Code,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Afghanistan,AFG,8.73151014,9.068900264,8.32732082,7.035745048,5.638908254,4.600307599,4.099705822,4.291299325,4.902681459,5.587298986,6.01712608,6.097717158,5.76608776,5.22384466,4.643995554,4.213174285,3.995872755,4.046627059,4.271538044,4.531354508,4.69466817,4.734332923
Albania,ALB,0.87843043,0.85553496,0.84372567,0.82417126,0.812476342,0.788237295,0.774515179,0.755983737,0.742478629,0.710442618,2.181208904,2.060274182,1.971798937,1.826429357,1.662227897,1.49221507,1.435124211,1.473287913,1.609373264,1.773496394,1.857335519,1.795607114
Algeria,DZA,3.80814181,3.648503224,3.474556638,3.293065596,3.118722762,2.952174698,2.81917231,2.777436429,2.692426291,2.610428885,2.549677833,2.521626102,2.535087755,2.575983434,2.625066804,2.669633374,2.729563258,2.77362485,2.824082452,2.878442523,2.912500561,2.899810018
American Samoa,ASM,3.582568884,3.286759551,3.099944284,2.975686581,2.861678918,2.708671668,2.524806104,2.298858855,1.835931433,1.023066773,0.835643294,0.549409711,0.132099151,-0.356492951,-0.910394746,-1.389182211,-1.634168939,-1.53753205,-1.172968172,-0.683580326,-0.260659243,0.043490417
Andorra,AND,3.641764052,3.275440631,2.519761473,1.567245304,0.430467003,-0.487333652,-0.676511926,0.144751927,1.61832027,3.193796464,4.269117909,4.651512856,4.142761402,3.113134975,2.106107893,1.259046423,0.30802873,-0.746695465,-1.849677196,-3.146068251,-4.360235791,-5.027367719
Angola,AGO,5.684090766,5.721407158,5.631940796,5.451610597,5.248968032,5.10299034,5.066158825,5.16650416,5.347495402,5.528934716,5.670292559,5.735801369,5.725267469,5.642642605,5.563296851,5.495633758,5.439030198,5.389860255,5.363941064,5.330266512,5.266279893,5.185361605
Antigua and Barbuda,ATG,0.549674734,1.157011857,1.472559895,1.576203362,1.636543885,1.685232461,1.587597426,1.328300506,0.966735959,0.479885749,-0.708640739,-0.977074957,-1.081003409,-1.059650792,-1.033299473,-1.022929927,-1.033502022,-1.057255851,-1.112232867,-1.155675831,-1.061925426,-0.951490505
Argenti,ARG,1.624689926,1.584721594,1.539256336,1.487416482,1.435626155,1.386668834,1.351019956,1.332538045,1.324287482,1.320767275,1.321562739,1.315609594,1.299025581,1.275805323,1.251995922,1.232091566,1.220899532,1.217530867,1.2226131,1.227706938,1.227413032,1.218887275
Armenia,ARM,-2.199092135,-2.748846604,-2.806751411,-2.465857774,-1.974146806,-1.555646308,-1.215460074,-1.04535804,-1.008028227,-0.959043001,-0.577288781,-0.407339832,-0.395727893,-0.417762151,-0.476978252,-0.520333302,-0.626314282,-0.625821989,-0.416287481,-0.177953382,0.016374313,0.169115176
Aruba,ABW,4.828026957,5.236260171,4.803486211,3.782378769,2.662525199,1.81782882,1.261295464,1.09550075,1.187344352,1.403663153,1.441495491,1.305810447,0.958215078,0.486825437,-0.020051465,-0.435438638,-0.705177195,-0.757862168,-0.658444218,-0.508755337,-0.338308551,-0.210004116
Australia,AUS,1.407583498,1.190809039,1.268204704,1.414956275,1.519170134,1.374534931,1.299693738,1.395852028,1.442684623,1.592426266,1.406936212,1.409759938,1.334809081,1.491525734,1.645538204,0.79243111,2.170366668,2.224854107,1.716778768,1.549427001,1.88029608,1.852385585
Austria,AUT,1.100567,0.824628019,0.384867021,0.153100897,0.135014829,0.11332058,0.109724862,0.194562589,0.240462184,0.384323159,0.499590024,0.49624589,0.629535582,0.690372134,0.50240228,0.333257282,0.32214896,0.271070844,0.247989069,0.346183705,0.465047133,0.614462274
Azerbaijan,AZE,0.93518797,0.937788827,0.765057343,0.561539449,0.414267131,0.369412688,0.346417135,0.696083254,1.213443781,1.165156383,1.13311843,1.145024135,1.261300756,1.404755514,1.479626007,1.515330138,2.478011081,2.452869587,1.585688139,1.717863041,1.762324105,1.745485728
"Bahamas, The",BHS,2.184330676,2.153209294,2.007317439,1.801297433,1.561291133,1.378583008,1.33364795,1.466075642,1.686283144,1.813201721,2.036075438,2.174049487,2.190777092,2.12277049,2.037781131,1.970489464,1.897619477,1.825385392,1.756409688,1.685495812,1.610141422,1.532175864
Bahrain,BHR,2.614942188,2.44255557,2.478094461,2.615644462,2.816836828,3.050146959,3.322819581,3.626923756,3.964808165,4.115147649,4.292832904,4.880762172,5.924674512,7.066479332,8.189932516,8.748620793,8.363547937,7.043982804,5.292398803,3.527333443,2.13819371,1.235604685
